id,ocupation,dateRange,skills,current_job,occupation_title,start_date,end_date,candidate_id
14922,Senior GeneXus Developer,June 2014 – Present(6 years),{},TRUE,Full Stack Engineer,2014-06-01 0:00:00,nan,3642
20645,Desarrollador sénior,January 2013 – Present(7 years 9 months)San Martin 550,{},TRUE,Full Stack Engineer,2013-01-01 0:00:00,nan,4095
6589278,Backend Developer,Jun 2023 – Present(9 months),"{Node.js,AWS Lambda,Amazon S3,OpenAPI Specification (OAS),PostgreSQL,TypeScript}",TRUE,Back End Engineer,2023-06-01 0:00:00,nan,10449
6589279,Backend Developer - Apps Engine Team,Mar 2020 – Mar 2023(3 years 1 month),"{Node.js,Continuous Integration and Continuous Delivery (CI/CD),MongoDB,Open-Source Software,TypeScript}",FALSE,Back End Engineer,2020-03-01 0:00:00,2023-03-01 0:00:00,10449
6589280,Backend Developer,Dec 2017 – Mar 2020(2 years 4 months),"{React.js,MongoDB,Amazon EC2,Terraform,Amazon EKS}",FALSE,Back End Engineer,2017-12-01 0:00:00,2020-03-01 0:00:00,10449
6589281,Backend Developer,Aug 2015 – Jan 2017(1 year 6 months),"{Node.js,API RESTful,Heroku,Sails.js,Ionic Framework}",FALSE,Back End Engineer,2015-08-01 0:00:00,2017-01-01 0:00:00,10449
6589282,Web Developer,Jul 2013 – Jul 2014(1 year 1 month),{},FALSE,Full Stack Engineer,2013-07-01 0:00:00,2014-07-01 0:00:00,10449
6589283,Information Technology Technical Support,Apr 2012 – Aug 2012(5 months),{linux},FALSE,Technical Support,2012-04-01 0:00:00,2012-08-01 0:00:00,10449
6589284,Information Technology Technical Support,Jan 2011 – Sep 2011(9 months),{linux},FALSE,Technical Support,2011-01-01 0:00:00,2011-09-01 0:00:00,10449
12570,"Vice President, Product Management","January 2019 – Present(1 year 5 months)Scottsdale, AZ",{},TRUE,C-level / VP,2019-01-01 0:00:00,nan,3339
12455,Director of Software Development and Database Operations,January 2017 – Present(3 years 5 months),{},TRUE,C-level / VP,2017-01-01 0:00:00,nan,3326
6366025,Ingeniera de software,Nov 2023 – Present(3 months),{},TRUE,Full Stack Engineer,2023-11-01 0:00:00,nan,37084
6366026,Ingeniero de desarrollo,Mar 2022 – Nov 2023(1 year 9 months),"{Spring Boot,Programación orientada a objetos (POO),Spring Framework,JSON,Docker,Git,Microservicios,JPA}",FALSE,Full Stack Engineer,2022-03-01 0:00:00,2023-11-01 0:00:00,37084
6366027,Java Software Engineer,Oct 2019 – Mar 2022(2 years 6 months),"{Spring Boot,Programación orientada a objetos (POO),Spring Framework,JSON,Git,Microservicios,JPA}",FALSE,Back End Engineer,2019-10-01 0:00:00,2022-03-01 0:00:00,37084
6366028,Programador Movil/Front end,Apr 2019 – Oct 2019(7 months),"{Programación orientada a objetos (POO),Kotlin,Git}",FALSE,Front End Engineer,2019-04-01 0:00:00,2019-10-01 0:00:00,37084
6366029,Programador web/fron-end,Jan 2019 – Mar 2019(3 months),"{Programación orientada a objetos (POO),Git}",FALSE,Full Stack Engineer,2019-01-01 0:00:00,2019-03-01 0:00:00,37084
6366030,"Programador Java/web, Líder área fron-end",Jan 2017 – Dec 2018(2 years),{Programación orientada a objetos (POO)},FALSE,Back End Engineer,2017-01-01 0:00:00,2018-12-01 0:00:00,37084
6366031,Programador Java/web,Mar 2015 – Dec 2016(1 year 10 months),"{html,spring,html,spring,mysql,html}",FALSE,Back End Engineer,2015-03-01 0:00:00,2016-12-01 0:00:00,37084
10177,VP of Engineering,2019 – Present,{},TRUE,C-level / VP,2019-01-01 0:00:00,nan,3113
275494,Software Engineer,January 2019 – Present(2 years 3 months),{},TRUE,Full Stack Engineer,2019-01-01 0:00:00,nan,2709
4879580,Technical Lead,Oct 2022 – Present(7 months),{},TRUE,Tech Lead,2022-10-01 0:00:00,nan,3726
9379,Head Of Marketing,August 2019 – Present(10 months)San Francisco Bay Area,{},TRUE,Marketing,2019-08-01 0:00:00,nan,3025
627342,Professor,"August 2020 – Present(10 months)Chapecó, Santa Catarina, Brasil",{},TRUE,nan,2020-08-01 0:00:00,nan,23508
7744,CIO,"January 2019 – Present(1 year 3 months)Las Vegas, Nevada Area",{},TRUE,nan,2019-01-01 0:00:00,nan,2880
14476,Senior Developer,"December 2019 – Present(6 months)Montevideo, Uruguay",{},TRUE,Full Stack Engineer,2019-12-01 0:00:00,nan,3581
586146,"Senior Software Engineer, Computational Geophysics","enero de 2021 – Actualidad(5 meses)Rio de Janeiro, Rio de Janeiro, Brazil",{},TRUE,Full Stack Engineer,2021-01-01 0:00:00,nan,22903
2082135,UX Manager,Jan 2021 – Present(1 year),{},TRUE,nan,2021-01-01 0:00:00,nan,19061
5830245,Java Developer,Jan 2006 – Apr 2007(1 year 4 months),{jira},FALSE,Back End Engineer,2006-01-01 0:00:00,2007-04-01 0:00:00,1551
5830244,Java Developer,Apr 2007 – Aug 2021(14 years 5 months),"{spring,mysql}",FALSE,Back End Engineer,2007-04-01 0:00:00,2021-08-01 0:00:00,1551
5830248,Java Developer,Jul 2005 – Dec 2005(6 months),{},FALSE,Back End Engineer,2005-07-01 0:00:00,2005-12-01 0:00:00,1551
90380,Ejecutivo para Empresas,"December 2020 – Present(2 months)Bogotá, Distrito Capital, Colombia",{},TRUE,nan,2020-12-01 0:00:00,nan,5517
90498,Sales & Services Leader | LATAM | El Caribe,2017 – PresentLATAM,{},TRUE,nan,2017-01-01 0:00:00,nan,5532
5132006,Senior Funcional QA Analyst,Nov 2015 – Present(7 years 8 months),{jira},TRUE,nan,2015-11-01 0:00:00,nan,12288
1242554,Recruiter IT,"April 2020 – Present(1 year 5 months)Córdoba, Argentina",{},TRUE,Technical Recruiter,2020-04-01 0:00:00,nan,39194
993077,Gerente de Proyectos Industriales en Cervecería y Malteria Quilmes,March 2019 – Present(2 years 5 months)Cervecería y Maltería Quilmes,{},TRUE,nan,2019-03-01 0:00:00,nan,34618
10167,Software Engineer (co-founder),"December 2019 – Present(6 months)Newton, Massachusetts, United States",{},TRUE,C-level / VP,2019-12-01 0:00:00,nan,3112
8809,Co-founder logrange.io,February 2019 – Present(1 year 4 months)San Francisco Bay Area,{},TRUE,C-level / VP,2019-02-01 0:00:00,nan,2972
9179,Head of Automotive (North America),"March 2020 – Present(3 months)San Francisco, California, United States",{},TRUE,nan,2020-03-01 0:00:00,nan,3007
856803,Project Control Services,enero de 2018 – Actualidad(3 años y 6 meses)Argentina,{},TRUE,nan,2018-01-01 0:00:00,nan,29193
7257,Full Stack Developer,March 2014 – Present(6 years 1 month),{},TRUE,Full Stack Engineer,2014-03-01 0:00:00,nan,2829
1049961,Android Developer,March 2020 – Present(1 year 5 months)Mexico,{},TRUE,Mobile Engineer,2020-03-01 0:00:00,nan,37088
3508964,VR/Frontend Engineer,Jun 2021 – Present(1 year 1 month),{},TRUE,Front End Engineer,2021-06-01 0:00:00,nan,5956
2627782,Technical Director,Jan 2018 – Present(4 years 3 months),{},TRUE,C-level / VP,2018-01-01 0:00:00,nan,3470
10645,Director Of Engineering,October 2019 – Present(8 months)San Francisco Bay Area,{},TRUE,Engineering Manager / Director,2019-10-01 0:00:00,nan,3152
703247,Lead Programmer,June 2017 – Present(4 years)Puebla,{},TRUE,Full Stack Engineer,2017-06-01 0:00:00,nan,25612
378680,Regional Territory Manager,February 2020 – Present(1 year 2 months),{},TRUE,nan,2020-02-01 0:00:00,nan,20334
